relative_time,DecibelSource,AccX,AccY,AccZ
7744,36.52499576099813,,,
7787,,,-10.541669845581055,
7788,,0.7841010689735413,,-1.4532804489135742
7824,37.96093680315821,,,
7854,,0.2214636504650116,-10.988188743591309,-0.9313444495201111
7904,39.81484733354816,,,
7921,,4.850652694702148,-12.442666053771973,-0.4058171808719635
7984,42.1128821754463,,,
7987,,4.81593656539917,-12.15057373046875,-1.7286136150360107
8054,,2.9053637981414795,-10.572794914245605,-2.0171148777008057
8064,38.135875591941,,,
8121,,-3.8391025066375732,-15.228320121765137,5.1798553466796875
8144,37.475952455182664,,,
8187,,,-11.494562149047852,
8188,,0.43095630407333374,,0.5626373887062073
8224,43.21036641971466,,,
8254,,,-7.020996570587158,
8255,,-0.12210428714752197,,2.070984363555908
8304,42.77643340449397,,,
8321,,-3.312378168106079,-4.738125324249268,3.022679567337036
8384,44.354748843894996,,,
8387,,,-2.694674015045166,
8388,,-1.844732403755188,,1.5969325304031372
8454,,,-18.2091007232666,
8455,,4.3610382080078125,,-16.704345703125
8464,41.21616517478694,,,
8521,,-0.5805938839912415,-5.714959621429443,-2.4193408489227295
8564,43.46856932042206,,,
8587,,,-20.393810272216797,
8588,,-5.8657941818237305,,-8.814253807067871
8644,44.09372688684371,,,
8653,,,-4.171896457672119,
8654,,-1.0187327861785889,,10.357316970825195
8720,,5.664681434631348,-13.502100944519043,0.5925649404525757
8723,43.95943580882003,,,
8787,,0.7493851184844971,-7.2783732414245605,-0.6045359373092651
8803,42.14632972932936,,,
8853,,0.7912836670875549,-9.215282440185547,
8854,,,,1.0319008827209473
8883,43.836003106165016,,,
8921,,0.8367735147476196,-10.08078670501709,-3.6523547172546387
8964,40.26274865236988,,,
8987,,-0.5626373887062073,-11.23479175567627,-1.0534487962722778
9044,43.56982050815138,,,
9054,,4.000710964202881,-11.941081047058105,-1.5406688451766968
9121,,6.075286865234375,-12.678495407104492,-1.436521053314209
9124,46.872451177788356,,,
9188,,2.5270798206329346,-11.571176528930664,-3.709815502166748
9204,42.09047203160827,,,
9254,,,-15.37197208404541,
9255,,-2.8119897842407227,,5.627571105957031
9284,42.870779442806,,,
9321,,-2.765302896499634,-13.188460350036621,-0.4034229815006256
9364,38.36141854326188,,,
9387,,,-7.329848289489746,
9388,,-0.04908113554120064,,1.8710685968399048
9444,40.8896933525578,,,
9454,,-3.3291375637054443,-4.5190558433532715,3.4799721240997314
9521,,-2.389413356781006,-2.9712042808532715,1.1875240802764893
9524,39.41816151072218,,,
9587,,,-14.624980926513672,
