relative_time,DecibelSource,AccX,AccY,AccZ
10083,,-0.9385270476341248,-10.11669921875,0.6380547285079956
10131,,-0.002394201699644327,-10.504559516906738,1.5478514432907104
10162,37.55285924248805,,,
10200,,0.4429273009300232,-12.609063148498535,-0.5434837937355042
10243,39.51950271696013,,,
10284,,-2.2697031497955322,-9.90122127532959,-0.19153612852096558
10323,42.53370712124871,,,
10336,,-7.453149795532227,-11.8225679397583,1.1312602758407593
10398,,,,-0.5590460896492004
10399,,-1.3192051649093628,-9.238027572631836,
10403,47.64378651250708,,,
10482,,-1.820790410041809,-7.24605131149292,-0.023942016065120697
10483,40.01877941302002,,,
10534,,-3.7840356826782227,-5.3127336502075195,-0.2322375625371933
10562,45.15431119151152,,,
10603,,-2.8658595085144043,-4.752490520477295,-1.1623848676681519
10642,36.908431963894216,,,
10668,,,,-3.509899616241455
10669,,8.69334602355957,-16.864757537841797,
10722,36.59175653528844,,,
10738,,-1.0546458959579468,-9.439140319824219,-6.2392897605896
10796,,-2.8670566082000732,-13.626599311828613,2.9951462745666504
10802,36.67732401469402,,,
10863,,-6.817489147186279,-5.467159748077393,3.3877954483032227
10883,38.070654346659325,,,
10941,,-2.3116016387939453,-12.97537612915039,2.454056739807129
10962,41.847704810078206,,,
11000,,0.16998831927776337,-6.664260387420654,-0.17836803197860718
11043,43.87080921536139,,,
11085,,,-9.047688484191895,0.9229647517204285
11086,,-4.885368347167969,,
11138,,-0.6943184733390808,-8.148665428161621,0.13766659796237946
11142,40.35846885504765,,,
11203,,-2.1368250846862793,-8.886079788208008,1.1013327836990356
11223,36.611654038655885,,,
11270,,-1.1827356815338135,-9.973047256469727,0.6440402865409851
11303,39.25462182660462,,,
11340,,,,1.6843209266662598
11341,,-1.0809820890426636,-10.291476249694824,
11383,38.05038114157374,,,
11399,,,,-0.4537012279033661
11400,,0.3292027413845062,-13.704410552978516,
11463,40.96992181893352,,,
11469,,-2.299630641937256,-7.164648532867432,0.3447650372982025
11530,,,,-1.7812861204147339
11532,,,-13.109451293945312,
11533,,-7.457938194274902,,
11543,42.34493810340829,,,
11606,,-1.7609353065490723,-9.14225959777832,-0.8068459630012512
11623,49.306805172426266,,,
11665,,-0.6416460275650024,-7.03057336807251,-0.16639702022075653
11703,41.251027051354455,,,
11732,,,,0.12330138683319092
11733,,-2.6839001178741455,-5.080495834350586,
11783,48.618722169081614,,,
11799,,-2.8658595085144043,-5.050568580627441,-1.3012486696243286
11863,43.996790850511985,,,
11878,,8.913613319396973,-15.911864280700684,-3.223792552947998
11937,,,,-5.224148273468018
11938,,0.5734112858772278,-9.206902503967285,
11943,38.79572957630887,,,
12003,,-4.435258865356445,-14.676456451416016,-1.0079588890075684
12023,38.8409998135409,,,
12074,,-5.440823554992676,-8.59997272491455,-0.35673606395721436
12103,44.506243637482434,,,
12131,,-4.738125324249268,-5.6670756340026855,4.414907932281494
12183,39.217861620707076,,,
12197,,4.6471452713012695,-12.87362289428711,-3.9193081855773926
12263,50.99934972472974,,,
12274,,-3.2166099548339844,-5.872976779937744,3.2130186557769775
12340,,-0.8415619134902954,-9.39245319366455,-1.1216834783554077
12343,37.828123636947815,,,
12398,,-0.8858546018600464,-8.759186744689941,0.6643909811973572
12442,38.46675754784772,,,
12473,,0.10055647045373917,-9.422380447387695,1.0666168928146362
12522,34.87062189799309,,,
12538,,-2.7126305103302,-10.079588890075684,1.5071499347686768
12602,35.548740144964604,,,
12617,,0.8415619134902954,-12.81855583190918,0.5985504388809204
12682,40.576822321035124,,,
12683,,-1.6627731323242188,-9.095572471618652,-0.47884035110473633
12749,,-9.430760383605957,-13.498509407043457,2.096123695373535
12763,48.35970028207802,,,
12804,,,,-1.4760253429412842
12805,,-1.280897855758667,-9.41639518737793,
12842,43.38655993381374,,,
12878,,-1.3515268564224243,-7.349001884460449,-0.6177040338516235
12923,40.595568994966406,,,
12951,,-2.558204412460327,-4.787206172943115,0.1604115068912506
13002,44.47800286249854,,,
13010,,,-4.751293182373047,-0.8774749040603638
13011,,-3.6978445053100586,,
13081,,8.429984092712402,-14.930241584777832,-5.148730754852295
13082,37.98365007904874,,,
13145,,1.2246341705322266,-11.681309700012207,-6.440402507781982
13162,37.22683629354549,,,
13202,,-8.465897560119629,-18.36711883544922,-0.8798691034317017
13242,44.513895679731796,,,
13282,,-6.959944248199463,-4.474762916564941,2.255337953567505
13322,44.05509280961308,,,
13339,,-3.8139634132385254,-7.535749912261963,2.403778553009033
13403,42.98284017262928,,,
13421,,2.892195701599121,-8.722076416015625,-2.499546527862549
13465,,,,0.05985504388809204
13466,,-7.214926719665527,-9.333795547485352,
13482,35.30716372236506,,,
13543,,-0.36750996112823486,-8.696937561035156,0.2968810200691223
13562,34.668741133495196,,,
13596,,,-8.343792915344238,1.7621324062347412
13597,,-0.7350199222564697,,
13643,34.97479723795328,,,
13672,,-1.4688427448272705,-9.959878921508789,1.7166426181793213
13730,,-1.7058687210083008,-11.295844078063965,1.2868833541870117
13743,34.507635004184166,,,
13802,,0.7362170219421387,-12.88559341430664,-0.7050924301147461
13823,43.93392470719039,,,
13864,,-1.1635819673538208,-7.887697696685791,-1.4401123523712158
13903,41.84335399969524,,,
13943,,-10.334571838378906,-14.862007141113281,2.341529369354248
13982,45.845725372127674,,,
14013,,-2.7928361892700195,-8.719682693481445,-1.5957354307174683
14063,50.9122868411853,,,
14075,,0.15801730751991272,-6.763619899749756,-0.33997663855552673
14143,47.603866698352505,,,
14145,,-3.1938650608062744,-4.376600742340088,1.161187767982483
14216,,-3.1208419799804688,-4.545392036437988,-1.7884687185287476
14223,42.763536492166324,,,
14269,,,-20.429723739624023,-2.960430383682251
14270,,11.512518882751465,,
14302,37.48861113408961,,,
14342,,-2.270900249481201,-8.96149730682373,-7.313088893890381
14383,39.23572876578434,,,
14413,,,,0.7098808288574219
14414,,-3.494337320327759,-12.824541091918945,
14462,39.75555826211112,,,
14475,,,,3.5745432376861572
14476,,-6.53257942199707,-4.4508209228515625,
14533,,-3.1244332790374756,-12.328941345214844,2.493561029434204
14543,42.59307908240801,,,
14602,,0.019153613597154617,-5.87776517868042,1.3024457693099976
14623,34.233700500644304,,,
14671,,-3.4739866256713867,-11.258733749389648,-0.6751648783683777
14703,33.634300205341994,,,
14738,,0.3842693865299225,-8.574832916259766,-0.37828385829925537
14783,33.44776741035008,,,
14814,,-0.8870517015457153,-8.588001251220703,1.8315643072128296
14863,33.319942781072825,,,
14886,,,-9.527725219726562,1.1001356840133667
14887,,-1.7741034030914307,,
14943,,-1.1288660764694214,-11.532869338989258,0.8248024582862854
14962,37.18243922418091,,,
15010,,0.17956513166427612,-10.515334129333496,-2.4205379486083984
15043,42.775383829640376,,,
15064,,-6.523002624511719,-12.230779647827148,0.8942343592643738
15123,43.004523295876915,,,
15137,,-3.971980571746826,-11.963826179504395,-1.3299790620803833
15202,39.58945053441559,,,
15205,,-0.7589619159698486,-7.94635534286499,-1.9931728839874268
15267,,-1.2401964664459229,-5.0254292488098145,0.910993754863739
15282,48.60550463723744,,,
15330,,,,0.7386112213134766
15331,,,-3.774458885192871,
15332,,-3.025073766708374,,
15362,34.89677134700049,,,
15404,,,,-6.889315605163574
15405,,-0.8439561128616333,-11.592724800109863,
15442,35.40719506999104,,,
15481,,6.1770405769348145,-14.099453926086426,-5.591658115386963
15523,36.99196689538673,,,
