relative_time,AccX,AccY,AccZ
21854,0.8846575022,-9.5480766296,-0.8655039072
21884,,,
21921,1.4879963398,-9.4930095673,2.1368250847
21964,,,
21988,1.4772224426,-11.1174755096,0.6775590777
22044,,,
22054,2.4564509392,-11.043255806,-0.3591302633
22121,6.0190229416,-12.0057239532,-2.856282711
22124,,,
22187,-1.9405004978,-11.8704519272,
22188,,,-0.4345476031
22204,,,
22254,-4.7728409767,-15.0176305771,2.9077579975
22284,,,
22321,3.3267433643,-10.4626617432,-0.3256114423
22364,,,
22387,,-5.3223104477,
22388,-0.1400607973,,3.657143116
22444,,,
22454,-2.3858220577,-4.6483426094,
22455,,,3.0538041592
22521,-2.7281928062,-4.6184148788,0.248996973
22524,,,
22587,,-17.1963539124,
22588,5.3127336502,,-12.7682781219
22624,,,
22654,-1.6304513216,-4.8195281029,
22655,,,-1.7693150043
22704,,,
22721,-10.5763864517,-19.622877121,-3.7541081905
22784,,,
22787,,-2.7126305103,
22788,-0.5279214978,,9.1590185165
22854,3.5039141178,-12.464214325,
22855,,,3.9037458897
22864,,,
22921,0.5303156972,-8.3342161179,0.3292027414
22944,,,
22987,,-9.963470459,
22988,-2.0697872639,,0.4896142483
23024,,,
23054,,-9.8832645416,
23055,1.2964602709,,-1.3024457693
23104,,,
23121,0.2609679997,-10.2208471298,-0.6392518282
23184,,,
23187,,-12.5767412186,
23188,2.9616274834,,-2.0530278683
23254,,-14.324508667,
23255,5.1283798218,,-0.5590460896
23264,,,
23321,1.8052281141,-10.2974615097,-6.1111998558
23344,,,
23387,,-13.4171066284,
23388,-0.7673416734,,3.537432909
23424,,,
23454,,-13.3632364273,
23455,-4.6531310081,,0.8571242094
23504,,,
23521,0.9935936928,-8.115146637,
23522,,,1.1947066784
23584,,,
23587,,-4.6208090782,
23588,-2.2134394646,,3.5110967159
23654,-3.3626563549,-2.9328970909,
23655,,,1.1097124815
23665,,,
23721,1.2605471611,-13.6625118256,-10.1095170975
23744,,,
23787,,-13.2710599899,
23788,2.652775526,,-7.934384346
23824,,,
23854,-6.3290719986,-9.0991640091,-0.5183446407
23921,-2.3798365593,-5.2109799385,7.5872249603
23924,,,
23987,,-8.2815437317,
23988,4.2161893845,,9.7527809143
24004,,,
24054,4.3323078156,-11.384428978,
24055,,,-3.3004069328
24084,,,
24121,-1.345541358,-7.909245491,0.7613561153
24164,,,
24187,,-9.0153665543,
24188,-0.1328781992,,-0.6392518282
24244,,,
24254,1.122880578,-9.8545341492,0.1460463107
24321,0.8667010069,-10.1909198761,-0.6715735793
24324,,,
24387,,-12.2020492554,
24388,2.1404163837,,-0.178368032
24404,,,
24454,,-11.9434747696,
24455,4.3011832237,,-1.6938977242
24484,,,
24521,-0.245405674,-12.3121824265,-1.6508020163
24564,,,
